season,matchday,indicator,namegoals,sub_in,sub_out,card_time,card_time,card_description,yellow_card,yellow_red_card,red_card,league_code
20-21,1,home,manuel-neuer/spieler,,,,,,,,,GER1
20-21,1,home,benjamin-pavard/spieler,,,,,,,,,GER1
20-21,1,home,niklas-suele/spieler,,,,,,,,,GER1
20-21,1,home,jerome-boateng/spieler,,,73',,,,,,GER1
20-21,1,home,lucas-hernandez/spieler,,,,,,,,,GER1
20-21,1,home,joshua-kimmich/spieler,,,,65', (1. Gelbe Karte),1.0,0.0,0.0,GER1
20-21,1,home,leon-goretzka/spieler,1.0,,51',,,,,,GER1
20-21,1,home,serge-gnabry/spieler,3.0,,72',,,,,,GER1
20-21,1,home,thomas-mueller/spieler,1.0,,82',,,,,,GER1
20-21,1,home,leroy-sane/spieler,1.0,,72',,,,,,GER1
20-21,1,home,robert-lewandowski/spieler,1.0,,,,,,,,GER1
20-21,1,away,ralf-faehrmann/spieler,,,,,,,,,GER1
20-21,1,away,sebastian-rudy/spieler,,,,,,,,,GER1
20-21,1,away,ozan-kabak/spieler,,,,30', (1. Gelbe Karte),1.0,0.0,0.0,GER1
20-21,1,away,benjamin-stambouli/spieler,,,,81', (1. Gelbe Karte),1.0,0.0,0.0,GER1
20-21,1,away,bastian-oczipka/spieler,,,,,,,,,GER1
20-21,1,away,suat-serdar/spieler,,,30',,,,,,GER1
20-21,1,away,nabil-bentaleb/spieler,,,,,,,,,GER1
20-21,1,away,rabbi-matondo/spieler,,,65',,,,,,GER1
20-21,1,away,amine-harit/spieler,,,79',,,,,,GER1
20-21,1,away,mark-uth/spieler,,,,,,,,,GER1
20-21,1,away,goncalo-paciencia/spieler,,,79',,,,,,GER1
20-21,1,home,kevin-trapp/spieler,,,,,,,,,GER1
20-21,1,home,david-abraham/spieler,,,,,,,,,GER1
20-21,1,home,makoto-hasebe/spieler,,,,,,,,,GER1
20-21,1,home,martin-hinteregger/spieler,,,,,,,,,GER1
20-21,1,home,dominik-kohr/spieler,,,46',,,,,,GER1
20-21,1,home,sebastian-rode/spieler,,,76',,,,,,GER1
20-21,1,home,danny-da-costa/spieler,,,46',,,,,,GER1
20-21,1,home,filip-kostic/spieler,,,,,,,,,GER1
20-21,1,home,daichi-kamada/spieler,,,88',,,,,,GER1
20-21,1,home,bas-dost/spieler,,,,33', (1. Gelbe Karte),1.0,0.0,0.0,GER1
20-21,1,home,andre-silva/spieler,1.0,,,,,,,,GER1
20-21,1,away,stefan-ortega/spieler,,,,,,,,,GER1
20-21,1,away,nathan-de-medina/spieler,,,13',7', (1. Gelbe Karte),1.0,0.0,0.0,GER1
20-21,1,away,amos-pieper/spieler,,,,,,,,,GER1
20-21,1,away,mike-van-der-hoorn/spieler,,,,,,,,,GER1
20-21,1,away,anderson-lucoqui/spieler,,,72',,,,,,GER1
20-21,1,away,manuel-prietl/spieler,,,,,,,,,GER1
20-21,1,away,ritsu-doan/spieler,,,72',,,,,,GER1
20-21,1,away,marcel-hartel/spieler,,,,,,,,,GER1
20-21,1,away,cebio-soukou/spieler,1.0,,72',,,,,,GER1
20-21,1,away,sergio-cordova/spieler,,,81',,,,,,GER1
20-21,1,away,fabian-klos/spieler,,,,,,,,,GER1
20-21,1,home,andreas-luthe/spieler,,,,,,,,,GER1
20-21,1,home,christopher-trimmel/spieler,,,,9', (1. Gelbe Karte),1.0,0.0,0.0,GER1
20-21,1,home,marvin-friedrich/spieler,,,,,,,,,GER1
20-21,1,home,robin-knoche/spieler,,,,,,,,,GER1
20-21,1,home,christopher-lenz/spieler,,,86',,,,,,GER1
20-21,1,home,robert-andrich/spieler,,,,,,,,,GER1
20-21,1,home,christian-gentner/spieler,,,25',,,,,,GER1
20-21,1,home,grischa-proemel/spieler,,,71',,,,,,GER1
20-21,1,home,sheraldo-becker/spieler,,,71',,,,,,GER1
20-21,1,home,marius-buelter/spieler,1.0,,,,,,,,GER1
20-21,1,home,marcus-ingvartsen/spieler,,,86',,,,,,GER1
20-21,1,away,rafal-gikiewicz/spieler,,,,,,,,,GER1
20-21,1,away,raphael-framberger/spieler,,,,,,,,,GER1
20-21,1,away,jeffrey-gouweleeuw/spieler,,,,,,,,,GER1
20-21,1,away,felix-uduokhai/spieler,,,,,,,,,GER1
20-21,1,away,iago-3/spieler,,,,,,,,,GER1
20-21,1,away,rani-khedira/spieler,,,,,,,,,GER1
20-21,1,away,carlos-gruezo/spieler,,,86',,,,,,GER1
20-21,1,away,daniel-caligiuri/spieler,,,86',,,,,,GER1
20-21,1,away,ruben-vargas/spieler,1.0,,76',,,,,,GER1
20-21,1,away,michael-gregoritsch/spieler,1.0,,89',,,,,,GER1
20-21,1,away,florian-niederlechner/spieler,,,76',,,,,,GER1
20-21,1,home,timo-horn/spieler,,,,,,,,,GER1
20-21,1,home,marco-hoeger/spieler,,,46',,,,,,GER1
20-21,1,home,sebastiaan-bornauw/spieler,,,,33', (1. Gelbe Karte),1.0,0.0,0.0,GER1
20-21,1,home,rafael-czichos/spieler,,,,,,,,,GER1
20-21,1,home,jannes-horn/spieler,,,,,,,,,GER1
20-21,1,home,ellyes-skhiri/spieler,,,85',,,,,,GER1
20-21,1,home,jonas-hector/spieler,,,,85', (1. Gelbe Karte),1.0,0.0,0.0,GER1
20-21,1,home,elvis-rexhbecaj/spieler,,,71',,,,,,GER1
20-21,1,home,ondrej-duda/spieler,,,88',69', (1. Gelbe Karte),1.0,0.0,0.0,GER1
20-21,1,home,jan-thielmann/spieler,,,71',,,,,,GER1
20-21,1,home,sebastian-andersson/spieler,1.0,,,,,,,,GER1
20-21,1,away,oliver-baumann/spieler,,,,90', (1. Gelbe Karte),1.0,0.0,0.0,GER1
20-21,1,away,kasim-adams/spieler,,,,,,,,,GER1
20-21,1,away,kevin-vogt/spieler,,,,,,,,,GER1
20-21,1,away,ermin-bicakcic/spieler,,,,45' +4, (1. Gelbe Karte),1.0,0.0,0.0,GER1
20-21,1,away,kevin-akpoguma/spieler,,,90' +5,,,,,,GER1
20-21,1,away,pavel-kaderabek/spieler,,,,90' +5, (1. Gelbe Karte),1.0,0.0,0.0,GER1
20-21,1,away,dennis-geiger-2/spieler,,,76',,,,,,GER1
20-21,1,away,diadie-samassekou/spieler,,,76',,,,,,GER1
20-21,1,away,christoph-baumgartner/spieler,,,,,,,,,GER1
20-21,1,away,andrej-kramaric/spieler,3.0,,,,,,,,GER1
20-21,1,away,munas-dabbur/spieler,,,62',,,,,,GER1
20-21,1,home,jiri-pavlenka/spieler,,,,,,,,,GER1
20-21,1,home,theodor-gebre-selassie/spieler,,,,,,,,,GER1
20-21,1,home,niklas-moisander/spieler,,,,,,,,,GER1
20-21,1,home,marco-friedl-2/spieler,,,,,,,,,GER1
20-21,1,home,ludwig-augustinsson/spieler,,,,,,,,,GER1
20-21,1,home,davy-klaassen/spieler,,,63',,,,,,GER1
20-21,1,home,maximilian-eggestein/spieler,,,,46', (1. Gelbe Karte),1.0,0.0,0.0,GER1
20-21,1,home,tahith-chong/spieler,,,63',,,,,,GER1
20-21,1,home,yuya-osako/spieler,,,46',,,,,,GER1
20-21,1,home,joshua-sargent/spieler,,,,,,,,,GER1
20-21,1,home,davie-selke/spieler,1.0,,,90' +1, (1. Gelbe Karte),1.0,0.0,0.0,GER1
20-21,1,away,alexander-schwolow/spieler,,,,,,,,,GER1
20-21,1,away,peter-pekarik/spieler,1.0,,81',,,,,,GER1
20-21,1,away,dedryck-boyata/spieler,,,,,,,,,GER1
20-21,1,away,jordan-torunarigha/spieler,,,,,,,,,GER1
20-21,1,away,maximilian-mittelstaedt/spieler,,,,,,,,,GER1
20-21,1,away,niklas-stark/spieler,,,81',,,,,,GER1
20-21,1,away,vladimir-darida/spieler,,,,,,,,,GER1
20-21,1,away,lucas-tousart/spieler,,,,,,,,,GER1
20-21,1,away,matheus-cunha/spieler,1.0,,,,,,,,GER1
20-21,1,away,dodi-lukebakio/spieler,1.0,,81',,,,,,GER1
20-21,1,away,krzysztof-piatek/spieler,,,61',,,,,,GER1
20-21,1,home,gregor-kobel/spieler,,,,,,,,,GER1
20-21,1,home,waldemar-anton/spieler,,,,,,,,,GER1
20-21,1,home,marcin-kaminski/spieler,,,65',,,,,,GER1
20-21,1,home,marc-oliver-kempf/spieler,,,,,,,,,GER1
20-21,1,home,roberto-massimo/spieler,,,78',,,,,,GER1
20-21,1,home,wataru-endo/spieler,,,,,,,,,GER1
20-21,1,home,orel-mangala/spieler,,,,,,,,,GER1
20-21,1,home,silas-katompa-mvumpa/spieler,1.0,,,45', (1. Gelbe Karte),1.0,0.0,0.0,GER1
20-21,1,home,gonzalo-castro/spieler,,,60',,,,,,GER1
20-21,1,home,daniel-didavi/spieler,,,,25', (1. Gelbe Karte),1.0,0.0,0.0,GER1
20-21,1,home,mateo-klimowicz/spieler,,,78',,,,,,GER1
20-21,1,away,florian-mueller-3/spieler,,,,,,,,,GER1
20-21,1,away,jonathan-schmid/spieler,,,77',,,,,,GER1
20-21,1,away,philipp-lienhart/spieler,,,,,,,,,GER1
20-21,1,away,dominique-heintz/spieler,,,,,,,,,GER1
